entityASlug,entityA,ownership,entityB,entityBSlug,role,year
chicago-unit-acquisition-llc,Chicago Unit Acquisition LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
china-trademark-llc,China Trademark LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
clyde-hall-inc,Clyde Hall Inc,25,DJT Holdings LLC,djt-holdings-llc,Shareholder,2017
clyde-hall-inc,Clyde Hall Inc,75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
coronet-hall-inc,Coronet Hall Inc.,25,DJT Holdings LLC,djt-holdings-llc,Shareholder,2017
coronet-hall-inc,Coronet Hall Inc.,75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
country-apartments-llc,Country Apartments LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
country-apartments-llc,Country Apartments LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
country-investors-llc,COUNTRY INVESTORS LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
country-investors-llc,COUNTRY INVESTORS LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
country-properties-llc,Country Properties LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
country-properties-llc,Country Properties LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
d-b-pace-acquisition-member-corp,D B Pace Acquisition Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
d-b-pace-acquisition-llc,"D B Pace Acquisition, LLC",1,D B Pace Acquisition Member Corp,d-b-pace-acquisition-member-corp,Managing Member,2017
d-b-pace-acquisition-llc,"D B Pace Acquisition, LLC",99,DJT Holdings LLC,djt-holdings-llc,Member,2017
development-member-inc,Development Member Inc.,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
dj-aerospace-bermuda-limited,DJ Aerospace (Bermuda) Limited,100,DJT Holdings LLC,djt-holdings-llc,Shareholder,2017
djt-aerospace-llc,DJT Aerospace LLC,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Member,2017
djt-entrepreneur-managing-member-llc,DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC),100,DJT Holdings LLC,djt-holdings-llc,Member,2017
djt-entrepreneur-member-llc,DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC),100,DJT Holdings LLC,djt-holdings-llc,Member,2017
djt-holdings-llc,DJT Holdings LLC,1,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Managing Member,2017
djt-holdings-llc,DJT Holdings LLC,99,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Member,2017
djt-holdings-managing-member-llc,DJT Holdings Managing Member LLC,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,,2017
djt-land-holdings-member-corp,DJT Land Holdings Member Corp,100,DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC),djt-entrepreneur-member-llc,Shareholder,2017
djt-operations-cx-llc,DJT Operations CX LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
djt-operations-i-llc,DJT Operations I LLC,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Member,2017
djt-operations-ii-llc,DJT Operations II LLC,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Member,2017
donald-j-trump-enterprises-llc,Donald J Trump Enterprises LLC,100,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
donald-j-trump-enterprises-ii-llc,Donald J Trump Enterprises II LLC,100,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
donald-j-trump-enterprises-iii-llc,Donald J Trump Enterprises III LLC,100,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
dsn-licensing-llc,DSN Licensing LLC (fka Trump Marks Network LLC),1,"TRUMP, DONALD J.",trump-donald-j,Member,2017
dsn-licensing-llc,DSN Licensing LLC (fka Trump Marks Network LLC),99,DSN Licensing Member Corp (fka Trump Marks Network Member Inc),dsn-licensing-member-corp,Managing Member,2017
dsn-licensing-member-corp,DSN Licensing Member Corp (fka Trump Marks Network Member Inc),100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
dt-app-warrant-holding-llc,DT APP Warrant Holding LLC,1,DT APP Warrant Holding Managing Member Corp,dt-app-warrant-holding-managing-member-corp,Managing Member,2017
dt-app-warrant-holding-llc,DT APP Warrant Holding LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-app-warrant-holding-managing-member-corp,DT APP Warrant Holding Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-connect-ii-llc,DT Connect II LLC,1,DT Connect II Member Corp,dt-connect-ii-member-corp,Managing Member,2017
dt-connect-ii-llc,DT Connect II LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
dt-connect-ii-member-corp,DT Connect II Member Corp,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
dt-connect-llc,DT Connect LLC,1,DT Connect Managing Member Corp,dt-connect-managing-member-corp,Managing Member,2017
dt-connect-llc,DT Connect LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2017
dt-connect-managing-member-corp,DT Connect Managing Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
dt-dubai-golf-manager-llc,DT Dubai Golf Manager LLC,1,DT Dubai Golf Manager Member Corp,dt-dubai-golf-manager-member-corp,Managing Member,2017
dt-dubai-golf-manager-llc,DT Dubai Golf Manager LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
dt-dubai-golf-manager-member-corp,DT Dubai Golf Manager Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
dt-dubai-ii-golf-manager-llc,DT Dubai II Golf Manager LLC,1,DT Dubai II Golf Manager Member Corp,dt-dubai-ii-golf-manager-member-corp,Managing Member,2017
dt-dubai-ii-golf-manager-llc,DT Dubai II Golf Manager LLC,99,THC VENTURE III LLC - N/K/A TTTT VENTURE LLC,thc-venture-iii-llc-nka-tttt-venture-llc,Member,2017
dt-dubai-ii-golf-manager-member-corp,DT Dubai II Golf Manager Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
dt-home-marks-international-llc,DT Home Marks International LLC,1,DT Home Marks International Member Corp,dt-home-marks-international-member-corp,Managing Member,2017
dt-home-marks-international-llc,DT Home Marks International LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-home-marks-international-member-corp,DT Home Marks International Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-india-venture-llc,DT India Venture LLC,1,Dt India Venture Managing Member Corp,dt-india-venture-managing-member-corp,Member,2017
dt-india-venture-llc,DT India Venture LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-india-venture-managing-member-corp,Dt India Venture Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-baku-llc,DT Marks Baku LLC,1,DT Marks Baku Managing Member Corp,dt-marks-baku-managing-member-corp,Managing member,2017
dt-marks-baku-llc,DT Marks Baku LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-baku-managing-member-corp,DT Marks Baku Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-dubai-ii-llc,DT Marks Dubai II LLC,1,DT Marks Dubai II Member Corp,dt-marks-dubai-ii-member-corp,Managing Member,2017
dt-marks-dubai-ii-llc,DT Marks Dubai II LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2017
dt-marks-dubai-ii-member-corp,DT Marks Dubai II Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
dt-marks-dubai-llc,DT Marks Dubai LLC,1,DT Marks Dubai Member Corp,dt-marks-dubai-member-corp,Managing Member,2017
dt-marks-dubai-llc,DT Marks Dubai LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-dubai-member-corp,DT Marks Dubai Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-gurgaon-llc,DT Marks Gurgaon LLC,1,DT Marks Gurgaon Managing Member Corp,dt-marks-gurgaon-managing-member-corp,Managing Member,2017
dt-marks-gurgaon-llc,DT Marks Gurgaon LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-gurgaon-managing-member-corp,DT Marks Gurgaon Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-jersey-city-llc,DT Marks Jersey City LLC,100,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-jupiter-llc,DT Marks Jupiter LLC,100,DTTM Operations LLC,dttm-operations-llc,Managing Member,2017
dt-marks-products-international-llc,DT Marks Products International LLC,1,DT Marks Products International Member Corp,dt-marks-products-international-member-corp,Managing Member,2017
dt-marks-products-international-llc,DT Marks Products International LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-products-international-member-corp,DT Marks Products International Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-pune-ii-llc,DT MARKS PUNE II LLC,1,DT Marks Pune II Managing Member Corp,dt-marks-pune-ii-managing-member-corp,Managing Member,2017
dt-marks-pune-ii-llc,DT MARKS PUNE II LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-pune-ii-managing-member-corp,DT Marks Pune II Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-pune-llc,DT Marks Pune LLC,1,DT Marks Pune Managing Member Corp,dt-marks-pune-managing-member-corp,Managing Member,2017
dt-marks-pune-llc,DT Marks Pune LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-pune-managing-member-corp,DT Marks Pune Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-qatar-llc,DT Marks Qatar LLC,1,DT Marks Qatar Member Corp,dt-marks-qatar-member-corp,Managing Member,2017
dt-marks-qatar-llc,DT Marks Qatar LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-qatar-member-corp,DT Marks Qatar Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-rio-llc,DT Marks Rio LLC,1,DT Marks Rio Member Corp,dt-marks-rio-member-corp,Managing Member,2017
dt-marks-rio-llc,DT Marks Rio LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-rio-member-corp,DT Marks Rio Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-vancouver-lp,DT Marks Vancouver LP,1,DT Marks Vancouver Member Corp,dt-marks-vancouver-member-corp,,2017
dt-marks-vancouver-lp,DT Marks Vancouver LP,99,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Limited Partner,2017
dt-marks-vancouver-member-corp,DT Marks Vancouver Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-marks-worli-llc,DT Marks Worli LLC,1,DT Marks Worli Member Corp,dt-marks-worli-member-corp,Managing Member,2017
dt-marks-worli-llc,DT Marks Worli LLC,99,DTTM Operations LLC,dttm-operations-llc,Member,2017
dt-marks-worli-member-corp,DT Marks Worli Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dt-tower-gurgaon-llc,DT Tower Gurgaon LLC,1,DT Tower Gurgaon Managing Member Corp,dt-tower-gurgaon-managing-member-corp,Managing Member,2017
dt-tower-gurgaon-llc,DT Tower Gurgaon LLC,99,THC VENTURE III LLC - N/K/A TTTT VENTURE LLC,thc-venture-iii-llc-nka-tttt-venture-llc,Member,2017
dt-tower-gurgaon-managing-member-corp,DT Tower Gurgaon Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
dtw-venture-llc,DTW Venture LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
dtw-venture-managing-member-corp,DTW Venture Managing Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
eid-venture-i-corporation,EID Venture I Corporation,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
eid-venture-i-llc,EID Venture I LLC,100,DTTM Operations LLC,dttm-operations-llc,Member,2017
excel-venture-i-corporation,Excel Venture I Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
excel-venture-i-llc,Excel Venture I LLC,1,Excel Venture I Corp,excel-venture-i-corporation,Managing Member,2017
excel-venture-i-llc,Excel Venture I LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
fifty-seven-management-corp,Fifty Seven Management Corp,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
fifty-seventh-street-associates-llc,Fifty Seventh Street Associates LLC,1,Fifty Seven Management Corp,fifty-seven-management-corp,Managing Member,2017
fifty-seventh-street-associates-llc,Fifty Seventh Street Associates LLC,99,The Trump Equitable Fifth Avenue Company,the-trump-equitable-fifth-avenue-company,Member,2017
first-member-inc,"First Member, Inc.",100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
flights-inc,"Flights, Inc. (Formerly Trump Flights, Inc.)",100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
florida-properties-management-llc,Florida Properties Management LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
fountainbleu-apartments-llc,Fontainbleu Apartments LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
fountainbleu-apartments-llc,Fontainbleu Apartments LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
golf-productions-llc,Golf Productions LLC,1,Golf Productions Member Corp,golf-productions-member-corp,Managing Member,2017
golf-productions-llc,Golf Productions LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
golf-productions-member-corp,Golf Productions Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
golf-recreation-scotland-limited,Golf Recreation Scotland Limited,100,Turnberry Scotland LLC,turnberry-scotland-llc,Sole Member,2017
helicopter-air-services-inc,"Helicopter Air Services, Inc.",100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
highlander-hall-inc,"Highlander Hall, Inc.",25,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
highlander-hall-inc,"Highlander Hall, Inc.",75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
hudson-waterfront-associates-i-lp,"Hudson Waterfront Associates I, L.P.",1,HUDSON WATERFRONT I CORPORATION,hudson-waterfront-i-corporation,Partner,2017
hudson-waterfront-associates-i-lp,"Hudson Waterfront Associates I, L.P.",69,"HUDSON WESTSIDE ASSOCIATES I, LP",hudson-westside-associates-i-lp,Partner,2017
hudson-waterfront-associates-i-lp,"Hudson Waterfront Associates I, L.P.",30,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
hudson-waterfront-associates-ii-lp,"Hudson Waterfront Associates II, L.P.",1,HUDSON WATERFRONT II CORPORATION,hudson-waterfront-ii-corporation,Partner,2017
hudson-waterfront-associates-ii-lp,"Hudson Waterfront Associates II, L.P.",69,"HUDSON WESTSIDE ASSOCIATES II, LP",hudson-westside-associates-ii-lp,Partner,2017
hudson-waterfront-associates-ii-lp,"Hudson Waterfront Associates II, L.P.",30,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
hudson-waterfront-associates-iii-lp,"Hudson Waterfront Associates III, L.P.",1,HUDSON WATERFRONT III CORPORATION,hudson-waterfront-iii-corporation,Partner,2017
hudson-waterfront-associates-iii-lp,"Hudson Waterfront Associates III, L.P.",69,"HUDSON WESTSIDE ASSOCIATES III, LP",hudson-westside-associates-iii-lp,Partner,2017
hudson-waterfront-associates-iii-lp,"Hudson Waterfront Associates III, L.P.",30,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
hudson-waterfront-associates-iv-lp,"Hudson Waterfront Associates IV, L.P.",1,HUDSON WATERFRONT IV CORPORATION,hudson-waterfront-iv-corporation,Partner,2017
hudson-waterfront-associates-iv-lp,"Hudson Waterfront Associates IV, L.P.",69,"HUDSON WESTSIDE ASSOCIATES IV, LP",hudson-westside-associates-iv-lp,Partner,2017
hudson-waterfront-associates-iv-lp,"Hudson Waterfront Associates IV, L.P.",30,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
hudson-waterfront-associates-v-lp,"Hudson Waterfront Associates V, L.P.",1,HUDSON WATERFRONT V CORPORATION,hudson-waterfront-v-corporation,Partner,2017
hudson-waterfront-associates-v-lp,"Hudson Waterfront Associates V, L.P.",69,"HUDSON WESTSIDE ASSOCIATES V, LP",hudson-westside-associates-v-lp,Partner,2017
hudson-waterfront-associates-v-lp,"Hudson Waterfront Associates V, L.P.",30,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
hudson-waterfront-associates-lp,"Hudson Waterfront Associates, L.P.",1,HUDSON WATERFRONT CORPORATION,hudson-waterfront-corporation,Partner,2017
hudson-waterfront-associates-lp,"Hudson Waterfront Associates, L.P.",69,"HUDSON WESTSIDE ASSOCIATES, LP",hudson-westside-associates-lp,Partner,2017
hudson-waterfront-associates-lp,"Hudson Waterfront Associates, L.P.",30,"TRUMP, DONALD J.",trump-donald-j,Partner,2017
indian-hills-holdings-llc,Indian Hills Holdings LLC f/k/a Indian Hills Development LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
trump-national-golf-club-jupiter,Jupiter Golf Club LLC,1,Jupiter Golf Club Managing Member Corp,jupiter-golf-club-managing-member-corp,Managing Member,2017
trump-national-golf-club-jupiter,Jupiter Golf Club LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
jupiter-golf-club-managing-member-corp,Jupiter Golf Club Managing Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
lamington-family-holdings-llc,Lamington Family Holdings LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
trump-national-golf-club-bedminster,Trump National Golf Club - Bedminster,100,LFB Acquisition LLC,lfb-acquisition-llc,Member,2017
lawrence-towers-apartments-llc,Lawrence Towers Apartments LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
lawrence-towers-apartments-llc,Lawrence Towers Apartments LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
lfb-acquisition-llc,LFB Acquisition LLC,1,LFB Acquisition Member Corp,lfb-acquisition-member-corp,Managing Member,2017
lfb-acquisition-llc,LFB Acquisition LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
lfb-acquisition-member-corp,LFB Acquisition Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
malc-inc,Malc Inc.,100,"Mar A Lago Club, Inc",mar-a-lago-club-inc,Shareholder,2017
mar-a-lago-club-inc,"Mar A Lago Club, Inc",100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
mar-a-lago-club-l-l-c,"Mar A Lago Club, LLC",0.01,"Mar A Lago Club, Inc",mar-a-lago-club-inc,Member,2017
mar-a-lago-club-l-l-c,"Mar A Lago Club, LLC",99.99,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Member,2017
midland-associates,Midland Associates,25,DJT Holdings LLC,djt-holdings-llc,Partner,2017
midland-associates,Midland Associates,75,TRUMP FAMILY MEMBERS,trump-family-members,Partner,2017
nitto-world-co-limited,"Nitto World Co., Limited",100,Trump Turnberry,trump-turnberry,Shareholder,2017
ocean-development-member-inc,Ocean Development Member Inc,100,DJT Holdings LLC,djt-holdings-llc,Shareholder,2017
ocean-development-services-llc,Ocean Development Services LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2017
ocean-development-services-llc,Ocean Development Services LLC,1,Ocean Development Member Inc,ocean-development-member-inc,Member,2017
one-central-park-west-associates,One Central Park West Associates,50,Trump Central Park West Corp,trump-central-park-west-corp,Partner,2017
one-central-park-west-associates,One Central Park West Associates,50,"GALBREATH COLUMBUS CIRCLE DEVELOPMENT ASSOCIATES, LP",galbreath-columbus-circle-development-associates-lp,Partner,2017
one-central-park-west-pt-associates,One Central Park West PT Associates,34.3,One Central Park West Associates,one-central-park-west-associates,Partner,2017
one-central-park-west-pt-associates,One Central Park West PT Associates,65.7,"CPW PT PARTNERS, G.P.",cpw-pt-partners-g-p,Partner,2017
opo-hotel-manager-llc,OPO Hotel Manager LLC,1,OPO Hotel Manager Member Corp,opo-hotel-manager-member-corp,Managing Member,2017
opo-hotel-manager-llc,OPO Hotel Manager LLC,22.5,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
opo-hotel-manager-llc,OPO Hotel Manager LLC,76.5,DJT Holdings LLC,djt-holdings-llc,Member,2017
opo-hotel-manager-member-corp,OPO Hotel Manager Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
owo-developer-llc,OWO Developer LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
panama-ocean-club-management-llc,Panama Ocean Club Management LLC,1,Panama Ocean Club Management Member Corp,panama-ocean-club-management-member-corp,Managing Member,2017
panama-ocean-club-management-llc,Panama Ocean Club Management LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
panama-ocean-club-management-member-corp,Panama Ocean Club Management Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
paramount-rpv-holdings-llc,Paramount RPV Holdings LLC,1,Paramount RPV Holdings Manager Corp,paramount-rpv-holdings-manager-corp,Managing Member,2017
paramount-rpv-holdings-llc,Paramount RPV Holdings LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
paramount-rpv-holdings-manager-corp,Paramount RPV Holdings Manager Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
parc-consulting-inc,"Parc Consulting, Inc",100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
park-briar-associates,Park Briar Associates,25,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Partner,2017
park-briar-associates,Park Briar Associates,75,TRUMP FAMILY MEMBERS,trump-family-members,Partner,2017
pine-hill-development-llc,Pine Hill Development LLC,1,Pine Hill Development Managing Member Corp,pine-hill-development-managing-member-corp,Managing Member,2017
pine-hill-development-llc,Pine Hill Development LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
pine-hill-development-managing-member-corp,Pine Hill Development Managing Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
plaza-consulting-corp,Plaza Consulting Corp,100,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
poker-venture-llc,Poker Venture LLC,1,Poker Venture Managing Member Corp,poker-venture-managing-member-corp,Shareholder,2017
poker-venture-llc,Poker Venture LLC,99,DTTM Operations LLC,dttm-operations-llc,Shareholder,2017
poker-venture-managing-member-corp,Poker Venture Managing Member Corp,100,DTTM Operations Managing Member Corp,dttm-operations-managing-member-corp,Shareholder,2017
reg-tru-equities-ltd,Reg Tru Equities LTD,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
restaurant-40-llc,"Restaurant 40, LLC",1,Restaurant 40 Member Corp,restaurant-40-member-corp,Managing Member,2017
restaurant-40-llc,"Restaurant 40, LLC",99,"TRUMP, DONALD J.",trump-donald-j,Member,2017
restaurant-40-member-corp,Restaurant 40 Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
rpv-development-llc,RPV Development LLC,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Member,2017
scotland-acquisitions-llc,Scotland Acquisitions LLC,100,DJT Holdings LLC,djt-holdings-llc,Member,2017
sentient-jets-member-corp,Sentient Jets Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
seven-springs-llc,Seven Springs LLC,0.1,Bedford Hills Corp,bedford-hills-corp,Managing Member,2017
seven-springs-llc,Seven Springs LLC,99.9,DJT Holdings LLC,djt-holdings-llc,Member,2017
shore-haven-apt-1-inc,"Shore Haven Apt #1, Inc",25,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
shore-haven-apt-1-inc,"Shore Haven Apt #1, Inc",75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
shore-haven-management-corp,Shore Haven Management Corp,25,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
shore-haven-management-corp,Shore Haven Management Corp,75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
shore-haven-shopping-center-llc,Shore Haven Shopping Center LLC,25,DJT Holdings LLC,djt-holdings-llc,Member,2017
shore-haven-shopping-center-llc,Shore Haven Shopping Center LLC,75,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
trump-turnberry,Trump Turnberry,100,Golf Recreation Scotland Limited,golf-recreation-scotland-limited,Sole Shareholder,2017
sofo-realty-corp,Sofo Realty Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2017
sussex-hall-inc,"Sussex Hall, Inc.",25,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Shareholder,2017
sussex-hall-inc,"Sussex Hall, Inc.",75,TRUMP FAMILY MEMBERS,trump-family-members,Shareholder,2017
t-international-realty-llc,T International Realty LLC (dba Trump International Realty),55,The Donald J. Trump Revocable Trust,the-donald-j-trump-revocable-trust,Managing Member,2017
t-international-realty-llc,T International Realty LLC (dba Trump International Realty),45,TRUMP FAMILY MEMBERS,trump-family-members,Member,2017
tag-air-inc,"Tag Air, Inc.",100,DJT Operations II LLC,djt-operations-ii-llc,Shareholder,2017
thc-baku-hotel-manager-services-llc,THC Baku Hotel Manager Services LLC,1,THC Baku Hotel Manager Services Member Corp.,thc-baku-hotel-manager-services-member-corp,Managing Member,2017
thc-baku-hotel-manager-services-llc,THC Baku Hotel Manager Services LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
thc-baku-hotel-manager-services-member-corp,THC Baku Hotel Manager Services Member Corp.,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
thc-baku-services-llc,THC Baku Services LLC,1,THC Baku Services Member Corp,thc-baku-services-member-corp,Managing Member,2017
thc-baku-services-llc,THC Baku Services LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
thc-baku-services-member-corp,THC Baku Services Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
thc-barra-hotelaria-ltda,THC Barra Hotelaria LTDA,99,DJT Holdings LLC,djt-holdings-llc,Shareholder,2017
thc-barra-hotelaria-ltda,THC Barra Hotelaria LTDA,1,THC Development Brazil Managing Member Corp,thc-development-brazil-managing-member-corp,Shareholder,2017
thc-central-reservations-llc,THC Central Reservations LLC,1,THC Central Reservations Member Corp,thc-central-reservations-member-corp,Managing Member,2017
thc-central-reservations-llc,THC Central Reservations LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2017
thc-central-reservations-member-corp,THC Central Reservations Member Corp,100,DJT Holdings Managing Member LLC,djt-holdings-managing-member-llc,Shareholder,2017
thc-china-development-llc,THC China Development LLC (fka Trump China Development LLC),100,Trump International Hotels Management LLC,trump-international-hotels-management-llc,Member,2017
