entityASlug,entityA,ownership,entityB,entityBSlug,role,year
trump-marks-ft-lauderdale-llc,Trump Marks Ft. Lauderdale LLC,1,Trump Marks Ft Lauderdale Member Corp,trump-marks-ft-lauderdale-member-corp,Managing Member,2016
trump-marks-ft-lauderdale-llc,Trump Marks Ft. Lauderdale LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-ft-lauderdale-member-corp,Trump Marks Ft Lauderdale Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-gp-corp,Trump Marks GP Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-holdings-lp,TRUMP MARKS HOLDINGS LP,1,Trump Marks GP Corp,trump-marks-gp-corp,Partner,2016
trump-marks-holdings-lp,TRUMP MARKS HOLDINGS LP,99,"TRUMP, DONALD J.",trump-donald-j,Parter,2016
trump-marks-hollywood-corp,Trump Marks Hollywood Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-hollywood-llc,Trump Marks Hollywood LLC,1,Trump Marks Hollywood Corp,trump-marks-hollywood-corp,Managing Member,2016
trump-marks-hollywood-llc,Trump Marks Hollywood LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-istanbul-ii-corp,Trump Marks Istanbul II Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-istanbul-ii-llc,Trump Marks Istanbul II LLC,1,Trump Marks Istanbul II Corp,trump-marks-istanbul-ii-corp,Managing Member,2016
trump-marks-istanbul-ii-llc,Trump Marks Istanbul II LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-jersey-city-corp,Trump Marks Jersey City Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-jersey-city-llc,Trump Marks Jersey City LLC,1,Trump Marks Jersey City Corp,trump-marks-jersey-city-corp,Managing Member,2016
trump-marks-jersey-city-llc,Trump Marks Jersey City LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-las-vegas-corp,Trump Marks Las Vegas Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-las-vegas-llc,Trump Marks Las Vegas LLC,1,Trump Marks Las Vegas Corp,trump-marks-las-vegas-corp,Managing Member,2016
trump-marks-las-vegas-llc,Trump Marks Las Vegas LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-llc,Trump Marks LLC,100,TRUMP MARKS HOLDINGS LP,trump-marks-holdings-lp,Member,2016
trump-marks-magazine-corp,Trump Marks Magazine Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-magazine-llc,Trump Marks Magazine LLC,1,Trump Marks Magazine Corp,trump-marks-magazine-corp,Managing Member,2016
trump-marks-magazine-llc,Trump Marks Magazine LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-mattress-llc,Trump Marks Mattress LLC,1,Trump Marks Mattress Member Corp,trump-marks-mattress-member-corp,Managing Member,2016
trump-marks-mattress-llc,Trump Marks Mattress LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-mattress-member-corp,Trump Marks Mattress Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-menswear-llc,Trump Marks Menswear LLC,1,Trump Marks Menswear Member Corp,trump-marks-menswear-member-corp,Managing Member,2016
trump-marks-menswear-llc,Trump Marks Menswear LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-menswear-member-corp,Trump Marks Menswear Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-mortgage-corp,Trump Marks Mortgage Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-mtg-llc,Trump Marks Mtg LLC,1,Trump Marks Mortgage Corp,trump-marks-mortgage-corp,Managing Member,2016
trump-marks-mtg-llc,Trump Marks Mtg LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-mumbai-llc,Trump Marks Mumbai LLC,1,Trump Marks Mumbai Member Corp,trump-marks-mumbai-member-corp,Managing Member,2016
trump-marks-mumbai-llc,Trump Marks Mumbai LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-mumbai-member-corp,Trump Marks Mumbai Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-new-rochelle-corp,Trump Marks New Rochelle Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-new-rochelle-llc,Trump Marks New Rochelle LLC,1,Trump Marks New Rochelle Corp,trump-marks-new-rochelle-corp,Managing Member,2016
trump-marks-new-rochelle-llc,Trump Marks New Rochelle LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-palm-beach-corp,Trump Marks Palm Beach Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-palm-beach-llc,Trump Marks Palm Beach LLC,1,Trump Marks Palm Beach Corp,trump-marks-palm-beach-corp,Managing Member,2016
trump-marks-palm-beach-llc,Trump Marks Palm Beach LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-panama-corp,Trump Marks Panama Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-panama-llc,Trump Marks Panama LLC,1,Trump Marks Panama Corp,trump-marks-panama-corp,Managing Member,2016
trump-marks-panama-llc,Trump Marks Panama LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-philadelphia-corp,Trump Marks Philadelphia Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-philadelphia-llc,Trump Marks Philadelphia LLC,1,Trump Marks Philadelphia Corp,trump-marks-philadelphia-corp,Managing Member,2016
trump-marks-philadelphia-llc,Trump Marks Philadelphia LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-philippines-corp,Trump Marks Philippines Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-philippines-llc,Trump Marks Philippines LLC,1,Trump Marks Philippines Corp,trump-marks-philippines-corp,Managing Member,2016
trump-marks-philippines-llc,Trump Marks Philippines LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-products-llc,Trump Marks Products LLC,1,Trump Marks Products Member Corp,trump-marks-products-member-corp,Managing Member,2016
trump-marks-products-llc,Trump Marks Products LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-products-member-corp,Trump Marks Products Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-puerto-rico-i-llc,Trump Marks Puerto Rico I LLC,1,Trump Marks Puerto Rico I Member Corp,trump-marks-puerto-rico-i-member-corp,Managing Member,2016
trump-marks-puerto-rico-i-llc,Trump Marks Puerto Rico I LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-puerto-rico-i-member-corp,Trump Marks Puerto Rico I Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-puerto-rico-ii-llc,Trump Marks Puerto Rico II LLC,1,Trump Marks Puerto Rico II Member Corp,trump-marks-puerto-rico-ii-member-corp,Managing Member,2016
trump-marks-puerto-rico-ii-llc,Trump Marks Puerto Rico II LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-puerto-rico-ii-member-corp,Trump Marks Puerto Rico II Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-punta-del-este-llc,Trump Marks Punta del Este LLC,1,Trump Marks Punta del Este Manager Corp,trump-marks-punta-del-este-manager-corp,Managing Member,2016
trump-marks-punta-del-este-llc,Trump Marks Punta del Este LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-punta-del-este-manager-corp,Trump Marks Punta del Este Manager Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-real-estate-llc,Trump Marks Real Estate LLC,1,The Trump Marks Real Estate Corp,the-trump-marks-real-estate-corp,Member,2016
trump-marks-real-estate-llc,Trump Marks Real Estate LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-soho-license-corp,Trump Marks SOHO License Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-soho-llc,Trump Marks SOHO LLC,1,Trump Marks SOHO License Corp,trump-marks-soho-license-corp,Member,2016
trump-marks-soho-llc,Trump Marks SOHO LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-stamford-corp,Trump Marks Stamford Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-stamford-llc,Trump Marks Stamford LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-stamford-llc,Trump Marks Stamford LLC,1,Trump Marks Stamford Corp,trump-marks-stamford-corp,Member,2016
trump-marks-sunny-isles-i-llc,Trump Marks Sunny Isles I LLC,1,Trump Marks Sunny Isles I Member Corp,trump-marks-sunny-isles-i-member-corp,Member,2016
trump-marks-sunny-isles-i-llc,Trump Marks Sunny Isles I LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-sunny-isles-i-member-corp,Trump Marks Sunny Isles I Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-sunny-isles-ii-llc,Trump Marks Sunny Isles II LLC,1,Trump Marks Sunny Isles II Member Corp,trump-marks-sunny-isles-ii-member-corp,Member,2016
trump-marks-sunny-isles-ii-llc,Trump Marks Sunny Isles II LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-sunny-isles-ii-member-corp,Trump Marks Sunny Isles II Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-tampa-corp,Trump Marks Tampa Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-tampa-llc,Trump Marks Tampa LLC,1,Trump Marks Tampa Corp,trump-marks-tampa-corp,Member,2016
trump-marks-tampa-llc,Trump Marks Tampa LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-toronto-corp,Trump Marks Toronto Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-toronto-llc,Trump Marks Toronto LLC,1,Trump Marks Toronto Corp,trump-marks-toronto-corp,Member,2016
trump-marks-toronto-llc,Trump Marks Toronto LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-toronto-lp,Trump Marks Toronto LP (Formally Trump Toronto Management LP),1,Trump Toronto Member Corp (formally Trump Toronto Management Member Corp),trump-toronto-member-corp,Member,2016
trump-marks-toronto-lp,Trump Marks Toronto LP (Formally Trump Toronto Management LP),99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-waikiki-corp,Trump Marks Waikiki Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-waikiki-llc,Trump Marks Waikiki LLC,1,Trump Marks Waikiki Corp,trump-marks-waikiki-corp,Managing Member,2016
trump-marks-waikiki-llc,Trump Marks Waikiki LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-westchester-corp,Trump Marks Westchester Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-westchester-llc,Trump Marks Westchester LLC,1,Trump Marks Westchester Corp,trump-marks-westchester-corp,Managing Member,2016
trump-marks-westchester-llc,Trump Marks Westchester LLC,99,"TRUMP, DONALD J.",trump-donald-j,Member,2016
trump-marks-white-plains-corp,Trump Marks White Plains Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
trump-marks-white-plains-llc,Trump Marks White Plains LLC,1,Trump Marks White Plains Corp,trump-marks-white-plains-corp,Managing Member,2016
